416,327.8443,-1809.2729,4.5733,359.3342,91,1 ; 
414,383.4589,-1740.6958,8.8571,358.6929,28,1 ; 
467,740.4370,-1793.5476,12.9180,349.2087,58,8 ; 
473,823.7594,-2066.2686,-0.1017,112.6381,56,53 ; 
467,892.0507,-1797.3351,13.4070,175.4098,60,1 ; 
467,944.9136,-1813.5590,13.0146,350.0614,68,8 ; 
491,1096.8945,-1878.8030,13.3031,178.1535,71,72 ; 
541,288.7144,-1158.0404,80.5349,221.9677,0,6 ; 
589,346.9617,-1197.2283,76.2875,25.8040,70,100 ; 
411,407.0925,-1151.5203,76.6354,148.1414,130,130 ; 
562,481.5187,-1089.5427,82.1051,359.1924,0,3 ; 
426,565.9165,-1067.1946,73.1332,35.3833,42,42 ; 
451,228.7167,-1398.7766,51.2917,51.4378,131,74 ; 
411,166.3856,-1340.8578,69.4391,190.4770,128,51 ; 
451,251.6047,-1359.8792,52.7134,300.5452,17,117 ; 
562,299.8025,-1331.8171,53.2744,72.7622,44,80 ; 
477,261.5547,-1220.3823,74.6478,183.4546,99,100 ; 
535,276.9328,-1267.3054,73.7098,302.5802,6,4 ; 
411,282.9343,-1160.4200,80.6401,223.5830,42,42 ; 
562,687.5812,-1072.8162,49.1274,62.7814,76,45 ; 
545,795.9840,-840.3973,60.4526,174.5740,31,96 ; 
534,831.9914,-858.8560,69.6527,199.3811,65,44 ; 
522,1099.2415,-818.4706,86.5177,153.5570,135,31 ; 
522,1256.5295,-804.6979,83.7138,117.1748,116,130 ; 
487,1291.7155,-786.8652,96.6376,1.5839,29,42 ; 
477,1460.3851,-633.6793,95.5530,179.4419,0,1 ; 
535,1516.9452,-765.4361,79.7405,142.5422,66,1 ; 
560,1536.7003,-841.9440,64.3992,91.2450,101,95 ; 
429,1429.4169,-883.6697,50.4307,45.8139,103,37 ; 
424,1113.3992,-657.0714,113.2539,1.8936,24,53 ;  
535,912.4982,-665.0076,116.7563,234.0564,136,91 ; 
461,203.5655,-1441.0552,12.6881,319.3540,43,1 ; 
521,411.1232,-1311.2087,14.5024,140.9818,36,0 ; 
474,580.0232,-1310.1290,13.6310,190.1793,54,114 ; 
429,760.3118,-1026.9938,23.8337,171.0469,25,78 ; 
411,825.8176,-1006.6130,27.4827,38.8900,123,1 ; 
429,973.4509,-930.9051,42.1739,91.9582,71,134 ; 
463,892.2068,-944.0689,41.3930,346.6371,46,55 ; 
534,1091.6672,-934.4342,42.7434,181.8923,53,53 ; 
461,1184.3699,-898.7025,42.8468,50.8006,26,5 ; 
463,1305.3447,-860.6293,39.1185,240.4489,102,77 ; 
567,1327.1772,-856.8694,39.4427,355.0141,96,74 ; 
576,929.9745,-996.4139,37.8311,274.6470,68,96 ; 
463,868.9804,-1068.5559,24.6418,26.0884,90,87 ; 
