415,-2076.7393,-84.4259,34.8911,357.8584,116,1 ;
560,-2396.2222,-594.7454,132.3533,123.1677,33,0 ;
411,-2414.5781,-586.8558,132.3755,215.3865,112,1 ; 
482,-2527.9175,-602.6952,132.6175,179.0378,41,20 ;
451,-2517.0481,-601.8521,132.2690,179.6375,36,36 ; 
522,-2494.2900,-601.8505,132.1326,178.4421,3,8 ; 
522,-2622.9067,-509.6570,70.9034,284.9871,3,8 ;
405,-2747.2739,-306.4048,6.9132,50.7011,24,1 ;
457,-2657.9009,-290.8440,7.1044,313.4402,25,25 ;
457,-2644.5061,-290.4049,7.1283,139.4791,8,8 ;
475,-2718.7566,-181.6171,3.9922,269.6131,68,8 ;
411,-2692.3340,-83.6105,4.7104,90.7628,1,1 ;
560,-2682.6699,-22.7128,4.3281,178.6174,1,31 ;
416,-2627.3579,-34.8250,4.0417,181.9431,41,29 ; 
408,-2729.5671,76.7876,4.4511,87.5421,32,32 ; 
567,-2528.8882,-5.5797,25.4875,271.5341,90,96 ; 
415,-2615.9045,-178.3203,4.1076,269.3111,40,1 ; 
480,-2352.2312,-124.4615,34.9708,179.3509,17,1 ;
448,-2319.5144,-150.8684,35.1509,176.9124,3,6 ; 
535,-2099.2341,-36.4293,35.1021,357.3710,77,26 ;
535,-2021.4100,-47.6897,35.1866,184.1009,69,1 ;
535,-2085.3667,61.6716,34.2269,88.7158,28,1 ;
567,-2357.8167,-43.2394,35.1865,90.6814,97,96 ;
403,-1855.5707,-176.4486,9.9250,270.1853,25,1 ;
522,-1697.8990,63.3702,3.1263,301.0493,39,106 ; 
522,-1682.4491,41.4261,3.1198,338.2361,51,118 ; 
493,-1760.9098,-193.8202,-0.1219,266.3580,36,13 ; 
426,-1669.5262,-33.8696,3.3108,314.1520,42,42 ; 
403,-1837.5128,-15.2423,15.6987,271.1784,54,1 ;
426,-1839.7010,-21.5651,14.8602,265.8797,42,42 ; 
421,-1885.3856,-161.3161,11.6546,355.7335,71,72 ;
