// new custom
// bayside
411, -2252.4578, 2306.0305, 4.4513, 90.3000, -1, -1;
445, -2271.4968, 2330.3921, 4.5798, 270.1798, -1, -1;
507, -2252.3042, 2336.3936, 4.5420, 33.4800, -1, -1;
// flint
505, -1065.1190, -1248.0848, 129.1906, 0.0000, -1, -1;
505, -1069.4326, -1248.1200, 129.1906, 0.0000, -1, -1;
505, -1073.8080, -1248.1671, 129.1906, 0.0000, -1, -1;
468, -1078.9249, -1248.0886, 128.8342, 0.0000, -1, -1;
468, -1080.8234, -1248.1572, 128.8342, 0.0000, -1, -1;
468, -1082.5862, -1248.1382, 128.8342, 0.0000, -1, -1;
531, -1092.4702, -1230.6187, 129.0623, 0.0000, -1, -1;
532, -1102.0238, -1209.6428, 129.8665, 0.0000, -1, -1;
// ls
536, 1777.3158, -1920.3231, 13.1164, 270.5400, -1, -1;
535, 1777.0060, -1915.7592, 13.0043, 270.0000, -1, -1;
534, 1777.4512, -1911.1682, 13.0236, 270.0000, -1, -1;
533, 1776.9810, -1924.8506, 13.0523, 270.0000, -1, -1;
412, 1789.4940, -1932.0181, 13.0633, 0.0000, -1, -1;
567, 1784.1697, -1932.3679, 13.1626, 0.0000, -1, -1;
566, 1794.8879, -1932.2479, 13.0339, 0.0000, -1, -1;
// redcountry
500, 1060.5177, -312.6214, 73.8838, 0.0000, -1, -1;
495, 1097.3470, -286.8562, 74.0558, 113.1600, -1, -1;
489, 1066.4664, -312.1705, 73.9277, 0.0000, -1, -1;
605, 1072.8975, -311.9601, 73.7574, 0.0000, -1, -1;
604, 1088.5907, -325.7133, 73.5266, 0.0000, -1, -1;
// sf
560, -1987.8751, 104.9917, 27.1528, 0.0000, -1, -1;
562, -1988.1998, 160.7276, 27.1633, 0.0000, -1, -1;
// santa-maria
452,297.4178,-1908.5183,-0.5558,87.8114,68,111;
454,295.2324,-1917.7430,0.1709,88.6298,1,49;
453,314.2783,-1918.4110,-0.2185,271.7161,24,4;
483,195.4699,-1861.4255,3.0207,215.1679,69,3; 
483,176.8544,-1859.3678,3.1429,303.5913,25,55; 
508,188.8756,-1856.8562,3.5293,252.9720,200,254;
563,395.1412,-2056.5659,14.6800,0.6973,1,1;
// Ambulance LV
416,1971.6548,709.0256,10.9699,269.2632,101,1;
416,2370.9019,1004.6122,10.9700,268.5092,101,1;
416,2838.7786,1344.5004,10.9138,90.9422,101,1;
416,2629.8655,1804.5331,10.9700,269.0580,101,1;
416,2533.5659,2006.6982,10.9702,91.6264,101,1;
416,2770.3557,2537.9971,10.9689,42.2879,101,1;
416,2175.2627,2840.1619,10.9687,90.2417,101,1;
416,1529.6349,2804.7651,10.9698,270.7287,101,1;
416,940.2281,2441.2651,10.9985,179.0924,101,1;
416,1035.9308,2101.5769,10.9698,179.1970,101,1;
416,1128.6267,1727.7988,11.4145,192.1828,101,1;
416,1712.4108,1398.3677,10.7209,18.4633,101,1;
416,2163.0959,1714.7977,11.1954,69.6669,101,1;
416,2012.5247,2188.9822,10.9697,90.7834,101,1;
416,2116.1516,2483.1575,10.9690,321.3296,101,1;
416,2442.7698,1286.3652,10.9691,93.0964,101,1;
416,1657.3430,630.9044,10.9691,357.3516,101,1;
416,1298.1207,2082.7073,10.3528,2.5421,101,1;
416,-2271.6948,2309.0786,4.3171,271.3195,-1,-1; //bayside
416,-1503.814697,2525.807617,56.041175,-1,-1; //lv 3
// Ambulance LS
416,2273.6990,-1411.0310,23.5044,145.9441,101,1;
416,2599.9858,-1121.0697,65.9745,236.0993,101,1;
416,2012.7003,-1414.5510,16.5323,267.9111,101,1;
416,1754.7792,-1930.1205,13.1169,357.7957,101,1;
416,1562.5795,-1614.0808,12.9229,262.0888,101,1;
416,1183.3085,-1337.9491,13.6125,271.5942,101,1;
416,1888.2720,-2274.7529,13.5402,265.3327,101,1;
// Ambulance SF
416,-2698.1509,637.2972,14.1128,269.5353,101,1;
416,-2771.9441,-409.6428,6.8817,271.4627,101,1;
416,-1713.4194,18.3675,3.2458,50.3540,101,1;
416,-1333.5845,479.9017,6.8403,92.5664,101,1;
416,-2046.8074,1115.6112,52.9487,181.1142,101,1;
// Mavericks spawn lv
487,2381.5435,2085.5767,58.8986,85.6093,14,185;
487,1940.5743,2255.1914,29.0379,180.0402,103,91;
487,1443.7487,2183.8655,29.8662,177.4613,63,9;
487,2247.2014,1040.3108,48.3959,258.3376,68,17;
487,2589.6821,1345.1125,78.6542,90.0570,14,90;
// Mavericks spawn ls
487,1529.2129,-1766.3470,33.6065,87.2000,48,2;
487,1757.3893,-1237.2990,91.8182,273.9248,109,36;
487,2736.9998,-1755.5867,44.1979,227.2130,109,31;
487,414.9451,-1625.2101,47.3493,271.1309,117,45;
487,914.5273,-1019.2088,111.2318,177.7231,73,90;
//boats
539,2147.2563,-129.1306,0.4338,165.2465,1,73;
539,2174.9919,-140.0554,0.3304,186.1084,96,69;
539,2122.5896,-107.1077,0.3751,142.2799,23,4;
453,2100.4077,-108.3904,-0.3237,209.7503,13,35;
453,-248.7362,-755.1951,-0.4135,353.2116,13,35;
453,1218.2806,-2535.1833,-0.3172,17.7697,13,35;
454,-2594.5730,1470.5867,0.2098,358.1516,14,74;
// Mavericks spawn lv
487,-2225.9412,133.5392,58.0851,87.2917,81,4;
487,-1936.0981,628.0294,145.4951,15.7771,61,66;
487,-1751.8612,1314.6188,33.2849,227.8372,113,23;
487,-2650.3857,609.0807,66.2699,174.4867,76,3;
487,-2522.9651,-647.4798,148.0826,172.9502,76,72;
// Helipad in the mountains (near bridge SF-LV)
447, -2860.4102, 2187.8325, 177.8054, 0.0000, -1, -1;
// trains sf
449,-2006.5000,137.6183,27.9973,180.0000,-1,-1; 
449,-2006.5000,167.6072,27.9973,180.0000,-1,-1; 
449,-2264.7075,529.9109,35.5811,0.4075,-1,-1; 
// Autoschool SF
589, -2079.8127, -108.9541, 34.9156, 0.0000, -1, -1;
589, -2073.9949, -109.0958, 34.9156, 0.0000, -1, -1;
